Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY21,,NETAPP HARDWARE SUPPORT AND MAINTENANCE,CA/CST,Recompete,FCN,Set Aside,12 months,Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Shane Thomas,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,NON-PRODUCTION ENVIRONMENT (NPE) HARDWARE AND SOFTWARE SUPPORT AND MAINTENANCE FOR ESOC-WEST ,CA/CST,Recompete,ALVAREZ LLC,Service Disabled Veteran Owned Small Business Competed,Base + 1 Option Period (2yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Pam Gipson,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,SAP HANA ENTERPRISE EDITION SUPPORT AND MAINTENANCE,CA/CST,Recompete,SOFTWARE INFORMATION RESOURCE CORP,Set Aside,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Ania Sultana,,541512 - Computer Systems Design Services,500000.0,1000000.0
FY21,,SAP HANA SOFTWARE LICENSING AND SUPPORT ,CA/CST,Recompete,SOFTWARE INFORMATION RESOURCE CORP,Set Aside,Base + 1 Option Period (2yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,USA,Nora Roman,,541511 - Custom Computer Programming Services,150000.0,500000.0
FY21,,VBLOCK HARDWARE SUPPORT AND MAINTENANCE ,CA/CST,Recompete,"ANACAPA MICRO PRODUCTS, INC.",Certified HUBZone Small Business Competed,12 months,Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Shane Thomas,,541519 - Other Computer Related Services,150000.0,500000.0
FY21,,VXBLOCK FOR ESOC WEST RENEWAL,CA/CST,Recompete,"ANACAPA MICRO PRODUCTS, INC.",Certified HUBZone Small Business Competed,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Shane Thomas,,541519 - Other Computer Related Services,150000.0,500000.0
FY21,,CLOUD COMPUTING SERVICES,CA/CST,Recompete,Four Points Technology,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,USA,Shane Thomas,,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY21,,"CAQM AND QFLOW HARDWARE, LICENSE AND SUPPORT",CA/CST,Recompete,ValidaTek,Sole Source,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Douglas Hill,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,CONTRACT AND ACQUISITION SUPPORT,CA/CST,Recompete,Jefferson,8(a) Competitive,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,USA,Eric J. Seyler,,541611 - Administrative Management and General Management Consulting Services,5000000.0,10000000.0
FY21,,NETAPP HARDWARE REFRESH,CA/CST,New,,Set Aside,12 months,Quarter 3 (Apr-Jun),>$1M and <$5M,USA,Shane Thomas,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,BARCODE SCANNERS DOMESTIC/OVERSEAS,CA/CST,New,Blue Tech,Set Aside,12 months,Quarter 2 (Jan-Mar),>$150K and <$500K,USA,Gene Solomon,,541519 - Other Computer Related Services,150000.0,500000.0
FY21,,DELL SERVER-OVERSEAS SITES,CA/CST,New,"COUNTERTRADE PRODUCTS, INC.",Set Aside,12 months,Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Gene Solomon,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,DOMESTIC HP SERVERS AND NAS STORAGE,CA/CST,New,FCN,Set Aside,12 months,Quarter 4 (Jul-Sep),>$10M and <$20M,USA,Gene Solomon,,541519 - Other Computer Related Services,10000000.0,20000000.0
FY21,,DOMESTIC SERVER HARDWARE,CA/CST,New,"COUNTERTRADE PRODUCTS, INC.",Set Aside,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Gene Solomon,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,FUJITSU 7280 SCANNERS DOMESTIC/OVERSEAS,CA/CST,New,"EDAC SYSTEMS, INC.",Women Owned Small Business Competed,12 months,Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Gene Solomon,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY21,,"DATA REPLICATION, ENGINEERING AND MANAGEMENT (DREAM)",CA/CST,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$100M and <$500M,USA,Douglas Hill,,541519 - Other Computer Related Services,100000000.0,500000000.0
FY21,,CONSULAR AFFAIRS CONSOLIDATED SUPPORT SERVICES (CASS),CA/EX/GSD,Recompete,Kenjya-Trusant Group,Service Disabled Veteran Owned Small Business Competed,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,USA,Marisa Perez,,541611 - Administrative Management and General Management Consulting Services,1000000.0,5000000.0
FY21,,ACQUISITION AND ADMINISTRATIVE SUPPORT,CA/EX/GSD,Recompete,Salmon Group,8(a) Sole Source,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Marisa Perez,,541611 - Administrative Management and General Management Consulting Services,500000.0,1000000.0
FY21,,PROFESSIONAL AND ADMINISTRATIVE SUPPORT SERVICES,CA/OCS,Recompete,"The Tolliver Group, Inc.",Service Disabled Veteran Owned Small Business Sole Source,Base plus 4 yrs,,>$1M and <$5M,USA,Monica Gaw; Dwayne Williamson,,561990 - All Other Support Services,1000000.0,5000000.0
FY21,,PROFESSIONAL CALL CENTER SUPPORT SERVICES,CA/OCS,New,,Competitive - Full and Open,Base plus 4 yrs,,>$1M and <$5M,USA,Monica Gaw; Dwayne Williamson,,561990 - All Other Support Services,1000000.0,5000000.0
FY21,,GRAPHIC DESIGNERS,CA/P,Recompete,Cherokee Nation Mission,Set Aside,Base + 2 Option Periods (3yrs),Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Marisa Perez,,561210 - Facilities Support Services,500000.0,1000000.0
FY21,,SUPPLY MANAGEMENT SERVICES FOR DAY-TO-DAY PASSPORT PRODUCTION USAGE,CA/PPT,Recompete,T-Accelegence,Set Aside,Base+4 OY,,>$20M and <$50M,USA,Winnie Fuentes; Jessica Taylor,,"541614 - Process, Physical Distribution, and Logistics Consulting Services",20000000.0,50000000.0
FY21,,WEB BASED TRAINING SERVICES INCLUDING WEB-HOSTING AND MAINTENANCE SERVICES.,CA/PPT,Recompete,DV United,Service Disabled Veteran Owned Small Business Sole Source,Base+4 OY,,>$500K and <$1M,USA,Winnie Fuentes; Jessica Taylor,,611420 - Computer Training,500000.0,1000000.0
FY21,,FIRST CLASS MAIL PROCESSING SERVICES TO RETURN CITIZENSHIP EVIDENCE TO THE CUSTOMER.,CA/PPT,Recompete,Pitney Bowes,Sole Source,Base+4 OY,,>$1M and <$5M,USA,Winnie Fuentes; Jessica Taylor,,532420 - Office Machinery and Equipment Rental and Leasing,1000000.0,5000000.0
FY21,,PASSPORT CARD STOCK,CA/PPT,Recompete,Idemia,Competitive - Full and Open,Base+4 OY,,>$50M and <$100M,USA,Winnie Fuentes; Jessica Taylor,,339999 - All Other Miscellaneous Manufacturing,50000000.0,100000000.0
FY21,,EXECUTIVE LEADERSHIP COACHING,CA/PPT,New,,New Procurement,Base+4 OY,,>$10M and <$20M,USA,Winnie Fuentes; Jessica Taylor,,611430 - Professional and Management Development Training,10000000.0,20000000.0
FY21,,PROFESSIONAL AND ADMINISTRATIVE SUPPORT SERVICES,CA/VO,Recompete,"Quality Support, Inc",Set Aside,Base plus 4 yrs,,>$20M and <$50M,USA,Lashanda Roberts,,541611 - Administrative Management and General Management Consulting Services,20000000.0,50000000.0
FY21,,PROGRAM MANAGEMENT PLATFORM,CT/P,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Laurie Freeman,,541611 - Administrative Management and General Management Consulting Services,1000000.0,5000000.0
FY21,,LARGE SUV COMMERCIAL MODIFICATION FOR ARMORING,DS/C/PSP/DEAV,New,,Competitive - Full and Open,Unknown,Quarter 4 (Jul-Sep),>$20M and <$50M,USA,Joseph Schulter,,"541990 - All Other Professional, Scientific, and Technical Services",20000000.0,50000000.0
FY21,,ARMORED VEHICLE NATC EXECUTIVE SUBURBAN ,DS/C/PSP/DEAV,New,,Sole Source,More than 12 Months with varying option periods.,Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Joseph Schulter ,,561990 - All Other Support Services,500000.0,1000000.0
FY21,,ARMORED VEHICLE BMW X5 ORDER FROM IDIQ ,DS/C/PSP/DEAV,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,USA,Joseph Schulter ,,561990 - All Other Support Services,5000000.0,10000000.0
FY21,,AV CORROSION STUDY ,DS/C/PSP/DEAV,New,,Competitive - Full and Open,More than 12 Months with varying option periods.,Quarter 4 (Jul-Sep),>$250K and <$500K,USA,Joseph Schulter ,,561990 - All Other Support Services,250000.0,500000.0
FY21,,HELMETS AND BODY ARMOR,DS/C/PSP/DEAV,New,,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Byron Bacik,,561990 - All Other Support Services,1000000.0,5000000.0
FY21,,"ANALYTIC EVALUATION OF ARMORED VEHICLE HANDLING (BMW X5, BMW X7, AND LAND ROVER SENTINEL)",DS/C/PSP/DEAV,New,,Competitive - Full and Open,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Joseph Schulter ,,561990 - All Other Support Services,500000.0,1000000.0
FY21,,MULTIPLE PROTOTYPING AWARDS & QA INSPECTIONS,DS/C/PSP/DEAV,New,,Competitive - Full and Open,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Joseph Schulter ,,561990 - All Other Support Services,500000.0,1000000.0
FY21,,TRUNK SAFES,DS/C/PSP/DEAV,New,,Competitive - Full and Open,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 4 (Jul-Sep),>$250K and <$500K,USA,Byron Bacik,,561990 - All Other Support Services,250000.0,500000.0
FY21,,ORANGE PELICAN CASES,DS/C/PSP/DEAV,New,,Competitive - Full and Open,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Byron Bacik,,561990 - All Other Support Services,500000.0,1000000.0
FY21,,WMD TRAINING AND LOGISTICS,DS/C/PSP/WMD,Recompete,Chimera Enterprises,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$20M and <$50M,USA,Teresa Angelo,,561990 - All Other Support Services,20000000.0,50000000.0
FY21,,DOMESTIC GUARD CONTRACT,DS/DO/DFP/UPD,New,InterCon Security Services,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$500M,USA,Shayani Mukherjee,,561612 - Security Guards and Patrol Services,500000000.0,
FY21,,DS IDENTITY ASSURANCE SUPPORT & IMPLEMENTATON,DS/EX/CTO,Recompete,Incadence,Sole Source,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$10M and <$20M,USA,Tom Lardner,,541512 - Computer Systems Design Services,10000000.0,20000000.0
FY21,,DS IT ENGINEERING SUPPORT SERVICES,DS/EX/CTO,Recompete,Actionet,8(a) Competitive,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$50M and <$100M,USA,Joseph Walker,,541512 - Computer Systems Design Services,50000000.0,100000000.0
FY21,,DS ENTERPRISE IT SUPPORT,DS/EX/CTO,Recompete,Acuity,8(a) Sole Source,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$10M and <$20M,USA,Tom Lardner,,541512 - Computer Systems Design Services,10000000.0,20000000.0
FY21,,IT PROFESSIONAL AND ADVISORY SERVICES,DS/EX/CTO,Recompete,Gartner,Not Competed – Other Than Small Business,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$250K and <$500K,USA,Tom Lardner,,541519 - Other Computer Related Services,250000.0,500000.0
FY21,,COMPLIANCE SERVICES INFORMATION SECURITY,DS/EX/CTO,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),>$10M and <$20M,USA,Joseph Walker,,541519 - Other Computer Related Services,10000000.0,20000000.0
FY21,,STAFFING FOR STRATEGIC PLANNING PROGRAMMING UNIT,DS/HTP/SP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),>$1M and <$5M,USA,Christopher Kollmar,,561110 - Office Administrative Services,1000000.0,5000000.0
FY21,,DS INFINITY DATABASE,DS/DSS/OPI,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),>$1M and <$5M,USA,Christopher Kollmar,,541511 - Custom Computer Programming Services,1000000.0,5000000.0
FY21,,GOVERNMENT PROVIDED TRAINING,DS/IP/OPO,New,,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$100M and <$500M,"AMMAN, JORDAN",Mark Bohac,,561990 - All Other Support Services,100000000.0,500000000.0
FY21,,CANINE TRAINING AND OPERATIONS,DS/IP/OPO,New,,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$100M and <$500M,"AMMAN, JORDAN",Mark Bohac,,561990 - All Other Support Services,100000000.0,500000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 2 (Jan-Mar),>$20M and <$50M,"VIENNA, AUSTRIA",Lisa Lopez,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,"Inter-Con Security Systems, Inc.",Competitive - Full and Open,base + 4 option years,Quarter 3 (Apr-Jun),>$10M and <$20M,"SANTIAGO, CHILE",Robert Clinger,,561612 - Security Guards and Patrol Services,10000000.0,20000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 3 (Apr-Jun),>$10M and <$20M,"MANAMA, BAHRAIN",Jerry Tavares,,561612 - Security Guards and Patrol Services,10000000.0,20000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$20M and <$50M,"ABU DHABI, U.A.E.",Matthew Gonzales,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,"Security Unlimited (PTY), Ltd.",Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$5M and <$10M,"MASERU, LESOTHO",Derrick Tolliver,,561612 - Security Guards and Patrol Services,5000000.0,10000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$5M and <$10M,"LJUBLIJANA, SLOVENIA",Brian Love,,561612 - Security Guards and Patrol Services,5000000.0,10000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,Safeguard Security (Pvt) Ltd,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$20M and <$50M,"HARARE, ZIMBABWE",Jeff Attaway,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$5M and <$10M,"GABORONE, BOTSWANA",Marc Weinstock,,561612 - Security Guards and Patrol Services,5000000.0,10000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$10M and <$20M,"DHAKA, BANGLADESH",Richard Barrett,,561612 - Security Guards and Patrol Services,10000000.0,20000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,Protectas SA/Securitas Critical I,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$20M and <$50M,"BERN, SWITZERLAND",Matthew Peffer,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$20M and <$50M,"SAN JOSE, COSTA RICA",Steven Whitaker,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,"Evergreen Internatioal Fiji, LLC",Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$1M and <$5M,"SUVA, FIJI",Daniel Art,,561612 - Security Guards and Patrol Services,1000000.0,5000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$5M and <$10M,"SINGAPORE, SINGAPORE",Paul Verzillo,,561612 - Security Guards and Patrol Services,5000000.0,10000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$100M and <$500M,"PARIS, FRANCE",Kimberly Woods,,561612 - Security Guards and Patrol Services,100000000.0,500000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$10M and <$20M,"KINSHASA, DRC",Kelsey Mills,,561612 - Security Guards and Patrol Services,10000000.0,20000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,"Daiwa Kensosha Co., LTD",Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$20M and <$50M,"TOKYO, JAPAN",Shannon Eisenhut,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,VxL Enterprises LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$10M and <$20M,"GEORGETOWN, GUYANA",Pejam Saadatzadeh,,561612 - Security Guards and Patrol Services,10000000.0,20000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,SoS Security LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$50M and <$100M,"BRASILIA, BRAZIL",Douglas Marvin,,561612 - Security Guards and Patrol Services,50000000.0,100000000.0
FY21,,LOCAL GUARD SERVICES,DS/IP/OPO,Recompete,G4S Secure Integration LLC,Competitive - Full and Open,base + 4 option years,Quarter 4 (Jul-Sep),>$20M and <$50M,"BANGKOK, THAILAND",Connie Butcher,,561612 - Security Guards and Patrol Services,20000000.0,50000000.0
FY21,,WORLDWIDE PROTECTIVE SERVICES III,DS/IP/OPO,Recompete,"WPS II IDIQ Contract Holders - Aegis, Triple Canopy, Janus Global Operations Inc and SOC LLC",Competitive - Full and Open,Base + 9 Option Periods (10yrs),Quarter 2 (Jan-Mar),>$500M,"IRAQ, AFGHANISTAN, JERUSALEM, JUBA, SOUTH SUDAN, CENTRAL AFRICAN REPUBLIC",Mark Bohac,,561612 - Security Guards and Patrol Services,500000000.0,
FY21,,LEXISNEXIS WILL PROVIDE THE DS WITH FLAT-RATE ACCESS TO 1200 SEATS OF ACCURINT LE AND LE PLUS WITH REAL TIME PHONE GATEWAY AND THE VIRTUAL IDENTITY REPORT TO SUPPORT CRIMINAL INVESTIGATIONS ACROSS THE DEPARTMENT.,DS/MGT/CAP,Recompete,Lexis Nexis,Sole Source,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Sarah Wisnieski,,921190 - Other General Government Support,1000000.0,5000000.0
FY21,,SUPPORT FOR MEETING THE DEPARTMENT’S REQUIREMENT FOR AN HSPD-12 COMPLIANT GLOBAL IDENTITY MANAGEMENT SOLUTION.,DS/MGT/CAP,New,Xtec,Sole Source,Less than 12 Months,Quarter 1 (Oct-Dec),>$500K and <$1M,USA,Mark Vita,,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY21,,DEFENSIVE EQUIPMENT,DS/PSP/DEAV,New,Human Technologies Corp,Competitive - Full and Open,,Quarter 4 (Jul-Sep),>$5M and <$10M,USA,Byron Bacik,,561990 - All Other Support Services,5000000.0,10000000.0
FY21,,HIGH THREAT ROLE PLAYERS,DS/T,Recompete,Barbaricum,New Procurement,Base + 5 Option Periods (6yrs),Quarter 1 (Oct-Dec),>$5M and <$10M,USA,William Hamill,,541611 - Administrative Management and General Management Consulting Services,5000000.0,10000000.0
FY21,,WAREHOUSE,DS/T,Recompete,Olgoonik Federal,8(a) Sole Source,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),>$20M and <$50M,USA,John Satanek,,493190 - Other Warehousing and Storage,20000000.0,50000000.0
FY21,,HVAC,DS/T,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),>$250K and <$500K,USA,William Hamill,,333415 - Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,250000.0,500000.0
FY21,,MANIKINS AND REPLACEMENT PARTS,DS/T,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Christopher Mazzacane,,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",150000.0,500000.0
FY21,,DIGITAL GREEN SCREEN,DS/T,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Marcos Cabrera,,334111 - Electronic Computer Manufacturing,500000.0,1000000.0
FY21,,SURFACE TABLETS,DS/T,New,,New Procurement,Less than 12 Months,Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Zoie Young,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY21,,UNARMORED TST VEHICLE PLATFORM,DS/T,New,,New Procurement,More than 12 Months with varying option periods.,Quarter 3 (Apr-Jun),>$500K and <$1M,USA,David Cassidy,,336211 - Motor Vehicle Body Manufacturing,500000.0,1000000.0
FY21,,"PROFESSIONAL SERVICE CONTRACT TO SUPPORT DS/TIA/PII MEET ITS CORE TRAINING NEEDS, SPECIFICALLY AS IT PERTAINS TO COUNTER SURVEILLANCE AND THREAT DETECTION OPERATIONS TO SUPPORT DS PROTECTIVE OPS GLOBALLY.",DS/TIA/PII,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,HeisermanMJ,,928110 - National Security,500000.0,1000000.0
FY21,,CAAP- ECA MEDIA COMMUNICATIONS ACROSS ALL PLATFORMS,ECA,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),>$1M and <$5M,USA,Terrence Lord,,541613 - Marketing Consulting Services,1000000.0,5000000.0
FY21,,ECA MOBILE WORKFORCE INITIATIVE,ECA/EX,New,,New Procurement,More than 12 Months with varying option periods.,Quarter 1 (Oct-Dec),>$500K and <$1M,USA,Antoinette Bowser,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY21,,ECA AMERICAN SPACES APPLICATION DEVELOPMENT,ECA/EX,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec);#Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Nirun Sakulmaeka,,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY21,,ECA GLOBAL IT APPLICATION AND NETWORK SUPPORT,ECA/EX,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$10M and <$20M,USA,Antoinette Bowser,,541513 - Computer Facilities Management Services,10000000.0,20000000.0
FY21,,HR CLASSIFIERS/TRAVEL COORDINATOR/ADMIN,EUR-IO/EX/GSD,Recompete,Cherokee Nation,8(a) Sole Source,Base + 2 Option Periods (3yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Tiye Ray,,561110 - Office Administrative Services,1000000.0,5000000.0
FY21,,ADMIN. MGT. ANALYST,EUR-IO/EX/GSD,Recompete,E9 Corporation,Set Aside,Base + 5 Option Periods (6yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Tiye Ray,,561110 - Office Administrative Services,1000000.0,5000000.0
FY21,,POSTAL SERVICE SUPPORT - ADMINISTRATIVE,EUR-IO/EX/GSD,Recompete,Kenjyah-Trusant Technologies,Service Disabled Veteran Owned Small Business Sole Source,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$250K and <$500K,USA,Tiye Ray,,561110 - Office Administrative Services,250000.0,500000.0
FY21,,DIGITAL MEDIA COORDINATOR,EUR-IO/EX/GSD,Recompete,Kenyjya-Trusant Technologies,Service Disabled Veteran Owned Small Business Competed,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$250K and <$500K,USA,Tiye Ray,,561110 - Office Administrative Services,250000.0,500000.0
FY21,,PD ADMIN ASST,EUR-IO/EX/GSD,Recompete,Kenjya-Trusant Technologies,Service Disabled Veteran Owned Small Business Sole Source,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Tiye Ray,,561110 - Office Administrative Services,500000.0,1000000.0
FY21,,ADMINISTRATIVE AND TRAINING PROGRAM SUPPORT SERVICES (PROFESSIONAL AND NON-PROFESSIONAL),FSI,Recompete,CTRMG-GAPSi Joint Venture (CGJV),8(a) Competitive,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),>$50M and <$100M,USA,Eric Modrak,,561110 - Office Administrative Services,50000000.0,100000000.0
FY21,,FACILITY SUPPORT SERVICES,FSI/EX/GSO,Recompete,Landmark Technology Inc. (LMT),Service Disabled Veteran Owned Small Business Competed,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Larry Parks,,561210 - Facilities Support Services,1000000.0,5000000.0
FY21,,ONLINE TRAINING CONTENT AND PORTAL,FSI/EX/REG,Recompete,Skillsoft Corporation,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Stephanie Sharpe,,511210 - Software Publishers,1000000.0,5000000.0
FY21,,LODGING FOR EXECUTIVE TRAINING OFF-SITES,FSI/LMS,Recompete,Multiple Vendors,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$5M and <$10M,USA,Susan Luck,,721110 - Hotels (except Casino Hotels) and Motels,5000000.0,10000000.0
FY21,,WEBSITE SUPPORT AND DEVELOPMENT FOR EXIST,FSI/OH,Recompete,eXist Solutions GmbH,Competitive - Full and Open,Base + 6 Option Periods (7yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Joe Wicentowski,,541519 - Other Computer Related Services,1000000.0,5000000.0
